;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,
EVTNAME10225;Hungarian Revolution of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC10225;The Hungarian nobility has grown increasingly nationalistic and liberal in recent years. The cities and countryside have become increasingly unruly, a violent and dangerous place for Bohemian officials and Czechs. In response, the Bohemian government ordered the Hungarian Diet dissolved and the replacement of the Governing Council with a single governor, Count Jirí Lukavský of Olomouc. The Hungarians have refused to obey, and thus we now face civil war to maintain the integrity of the realm.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90002;The tyranny of $CB_TARGET_NAME$;La tyrannie de $CB_TARGET_NAME$;Die Tyrannei von $CB_TARGET_NAME$;;;;;;;;;;;x
EVTDESC90002;For too long have people suffered under the malign influence of $CB_TARGET_NAME$. For the good of all involved, we must reveal the evidence of $CB_TARGET_NAME$'s mismanagement to the world and bring their sphere members under our wing for their own good.;Depuis trop longtemps la population a subi la mauvaise influence de $CB_TARGET_NAME$. Pour le bien de tous, nous devons mettre au jour la mauvaise gestion de $CB_TARGET_NAME$ et conduire les membres de leur sphère d'influence sous notre aile protectrice, pour leur propre bien.;Zu lange schon mussten die Leute unter dem unheilvollen Einfluss von $CB_TARGET_NAME$ leiden. Zum Wohle aller Beteiligten, müssen wir die Beweise von $CB_TARGET_NAME$s Misswirtschaft der Welt kundtun und die Mitglieder deren Einflussbereichs zu ihren Gunsten unter unsere Fittiche nehmen.;;;;;;;;;;;x
EVTOPTA90002;We will save them!;Nous allons les sauver !;Wir werden sie retten!;;;;;;;;;;;x
EVTNAME90003;The tyranny of $CB_TARGET_NAME$;La tyrannie de $CB_TARGET_NAME$;Die Tyrannei von $CB_TARGET_NAME$;;;;;;;;;;;x
EVTDESC90003;Despite having very much non-made-up proof that $CB_TARGET_NAME$ are up to no good there seems to be no public or international support for rescuing the poor lesser nations from their sphere of influence.;Malgré de nombreuses preuves absolument pas trafiquées contre $CB_TARGET_NAME$, il ne semble pas y avoir de soutien populaire ou international en faveur de notre projet de sortir les pauvres nations rabaissées appartenant à leur sphère d'influence.;Trotz vieler nicht ausgedachter Beweise, dass $CB_TARGET_NAME$ nichts Gutes im Schilde führt, scheint es keine öffentliche und internationale Unterstützung zu geben, die armen, geringeren Nationen aus deren Einflussbereich zu retten. ;;;;;;;;;;;x
EVTOPTA90003;Fools!;Imbéciles !;Dummköpfe!;;;;;;;;;;;x
EVTOPTH999015;Support the Fascist parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTG999014;Support the Communist parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTF999012;Support the Socialist parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTE999011;Support the Anarcho-Liberal parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999049;Do not get involved in the debate.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999010;Let the campaigns take their course and do not intervene.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999004;This can be solved without violence.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999002;There is one faith and one faith only!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTD999001;Decisive arguments for Planned Economy.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999050;Social reform can be achieved without radicalism.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999049;Do not get involved in the debate.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999043;Equal votes for equal chances - NOW!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999042;Better now than later.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999041;We shall do this right away!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999040;A reform is long past due - issue a new voting right.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999010;Support the Liberal parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999004;War between countries is never good.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999003;Let them have full citizenship.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999002;Let the people have their faith.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999001;Decisive arguments for State Capitalism.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC999000;Freedom of trade shall not perish from this Earth!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTC96016;We have no interest in their colonies;Nous ne voulons pas les colonies;Wir wünschen nicht die Kolonien;;;;;;;;;;;x,,,,
EVTOPTB999050;Fascism is our only hope!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999049;The socialists are right!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999046;What's next? Blindfolds?;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999045;Want me to play the world's smallest violin?;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999044;There is no need to change the system.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999043;Enough is enough! Stop that nonsense!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999042;Better never than ever.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999041;Stop these ungrateful wretches!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999040;Voting rights for the middle class? Nay!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999022;Let the riots play their course.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999010;Support the Reactionary parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999004;Violence can be used, but in this situation it would be meaningless.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTB999003;We need to limit their citizenship.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999002;Religion is not a political issue!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999001;Decisive arguments for Interventionism.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB999000;Let the debate take its own course, and let the chips fall where they may!;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTB203805;What? No.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB203777;This has gone on for far too long. This must end.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB203776;We must keep order in the streets!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB160502;Do not waste my time with this nonsense!;;Verschwendet meine Zeit nicht mit diesem Unfug!;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTB160001;Out with the Manchu!;;Weg mit den Manchu!;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTB96136;We have no choice but to accept.;Nous acceptons.;Wir nehmen an.;;;;;;;;;;;x,,,,
EVTOPTB96071;We do not wish any more colonies.;Nous refusons.;Wir lehnen ab.;;;;;;;;;;;x,,,,
EVTOPTB96065;We cannot afford such a war.;;;;;;;;;;;x,,,,
EVTOPTB96030;We refuse;Nous refusons;Wir lehnen ab;;;;;;;;;;;x,,,,
EVTOPTB96025;We don't need more allies;Nous n'avons pas besoin de plus d'alliés;Wir benötigen nicht mehr Verbündete;;;;;;;;;;;x,,,,
EVTOPTB96016;Our only interest is limiting $FROMCOUNTRY_ADJ$ power;Nous voulons seulement;Wir wünschen nur wenig;;;;;;;;;;;x,,,,
EVTOPTB96015;$FROMCOUNTRY$ is our ally;$FROMCOUNTRY$ est notre allié;$FROMCOUNTRY$ ist unser Verbündetes;;;;;;;;;;;x,,,,
EVTOPTB96013;We will not attend;Nous n'irons pas;Wir gehen nicht;;;;;;;;;;;x,,,,
EVTOPTB90904;Allow them to leave. We will not oppose them.;;;;;;;;;;;;;x
EVTOPTB66689;Keep Lucky Nations Off.;;;;;;x,,,,,,,,,,
EVTOPTB49504;This is going too far.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB49503;This is going too far.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB49502;We'll see how they feel with an army in their capital...;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB49501;We see little reason to join such a union.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32548;Enforce the conditions of his exile.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32547;Literature is not as bad as violent opposition.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32541;Let him suffer the fate of all traitors.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32540;We need not descend into barbarism.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32539;Let the rebel scum suffer.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32538;This is the last straw. Let them go.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32537;Organize our forces but do nothing.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32536;Let them go, we have failed in the Caucasus.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTB32533;Attempt to pull out of our weaker outposts.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32532;Is this really necessary?;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32531;We will do what is necessary and no more.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB32530;Let us bide our time.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTB19043;Pressure the government;Pression sur le gouvernement;Regierung unter Druck setzen.;;Presionemos al gobierno;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTB19040;The Valley is Ours;La vallée est à nous !;Das Tal gehört uns!;;El valle es nuestro;;;;;;;;;x;;;;,,,,,,,,,,
EVTOPTB13010;Allow them to stay.;Les obliger à rester.;Zwingt sie, zu bleiben.;;Obligadles a quedarse.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTOPTB13000;They bring dangerous ideas. $COUNTRY$ will refuse them all access.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTOPTA2037107;But since only hosts can change the saves you should probably find a new one;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999050;Communism is our only hope!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999049;The liberals are right!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999046;I guess some privacy would be in order.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999045;You are right, we have to do something.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999044;This has to stop!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999043;A rightful initiative.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999042;Better late then never.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999041;Sounds like a good idea, I guess.;;;;;;;;;;;;;x,,,,,,,,,
EVTOPTA999040;They are right - support their reform.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999032;We will have an eye on this.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999031;We will have an eye on this.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999030;We will have an eye on this.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999022;Send in the army. Order must be restored.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999021;Outrageous!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999020;There shall be peace and quite in our time.;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999010;Support the Conservative parties!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999004;We are patriots and we are going to fight for our country!;;;;;;;;;;;;;x,,,,,,,,,,
EVTOPTA999003;Give them residency.;;;;;;;;;;;;;x,,,,,,,,,,
